title;community
Learning Belief Networks in Domains with Recursively Embedded Pseudo Independent Submodels;grupo 6
A Robust Quantum Random Access Memory;grupo 6
Exploring Parallelism in Learning Belief Networks;grupo 6
Exploring Localization in Bayesian Networks for Large Expert Systems;grupo 6
Nonparametric Bayesian Logic;grupo 6
Constraint Processing in Lifted Probabilistic Inference;grupo 6
Inter-causal Independence and Heterogeneous Factorization;grupo 6
Probabilistic Semantics and Defaults;grupo 6
Symmetric Collaborative Filtering Using the Noisy Sensor Model;grupo 6
Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making;grupo 6
A Monte-Carlo Algorithm for Dempster-Shafer Belief;grupo 6
The Computational Complexity of Dominance and Consistency in CP-Nets;grupo 6
The Assumptions Behind Dempster's Rule;grupo 6
Generating Graphoids from Generalised Conditional Probability;grupo 6
Rules, Belief Functions and Default Logic;grupo 6
Order-of-Magnitude Influence Diagrams;grupo 6
"Possibilistic Constraint Satisfaction Problems or ""How to handle soft constraints?""";grupo 6
Bounds Arc Consistency for Weighted CSPs;grupo 6
From influence diagrams to multi-operator cluster DAGs;grupo 6
Penalty logic and its Link with Dempster-Shafer Theory;grupo 6
New Results on Equilibria in Strategic Candidacy;grupo 6
Syntax-based Default Reasoning as Probabilistic Model-based Diagnosis;grupo 6
Possibilistic decreasing persistence;grupo 6
Group Activity Selection Problem;grupo 6
Plausible reasoning from spatial observations;grupo 6
A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;grupo 6
Possibility and Necessity Functions over Non-classical Logics;grupo 6
Sidestepping the Triangulation Problem in Bayesian Net Computations;grupo 6
A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes;grupo 6
Fast Value Iteration for Goal-Directed Markov Decision Processes;grupo 6
Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;grupo 6
Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;grupo 6
Region-Based Approximations for Planning in Stochastic Domains;grupo 6
Independence of Causal Influence and Clique Tree Propagation;grupo 6
Solving Asymmetric Decision Problems with Influence Diagrams;grupo 6
The Complexity of Plan Existence and Evaluation in Probabilistic Domains;grupo 6
Arguments using ontological and causal knowledge;grupo 6
Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks;grupo 80
A Variational Approach for Approximating Bayesian Networks by Edge Deletion;grupo 80
Approximating the Partition Function by Deleting and then Correcting for Model Edges;grupo 80
EDML: A Method for Learning Parameters in Bayesian Networks;grupo 80
On Bayesian Network Approximation by Edge Deletion;grupo 80
Learning Why Things Change: The Difference-Based Causality Learner;grupo 80
Efficient inference in persistent Dynamic Bayesian Networks;grupo 80
Exploiting Evidence in Probabilistic Inference;grupo 80
Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;grupo 80
Knowledge Engineering for Large Belief Networks;grupo 80
Intercausal Reasoning with Uninstantiated Ancestor Nodes;grupo 80
A Comparison of Decision Analysis and Expert Rules for Sequential Diagnosis;grupo 80
Efficient Estimation of the Value of Information in Monte Carlo Models;grupo 80
Search-based Methods to Bound Diagnostic Probabilities in Very Large Belief Nets;grupo 80
An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;grupo 80
Tradeoffs in Constructing and Evaluating Temporal Influence Diagrams;grupo 80
Dynamic Network Updating Techniques For Diagnostic Reasoning;grupo 80
A Standard Approach for Optimizing Belief Network Inference using Query DAGs;grupo 80
What is an Optimal Diagnosis?;grupo 80
Symbolic Probabilistic Inference with Evidence Potential;grupo 80
Symbolic Probabilistic Inference with Continuous Variables;grupo 80
An Architecture for Probabilistic Concept-Based Information Retrieval;grupo 80
Refinement and Coarsening of Bayesian Networks;grupo 80
Backward Simulation in Bayesian Networks;grupo 80
An Approximate Nonmyopic Computation for Value of Information;grupo 80
A logic for reasoning about ambiguity;grupo 104
Generating New Beliefs From Old;grupo 104
Weighted Sets of Probabilities and Minimax Weighted Expected Regret: New Approaches for Representing Uncertainty and Making Decisions;grupo 104
Probability Update: Conditioning vs. Cross-Entropy;grupo 104
Defining Explanation in Probabilistic Systems;grupo 104
A New Approach to Updating Beliefs;grupo 104
Ambiguous Language and Differences in Beliefs;grupo 104
Causes and Explanations: A Structural-Model Approach --- Part 1: Causes;grupo 104
Value-Directed Belief State Approximation for POMDPs;grupo 104
Hierarchical POMDP Controller Optimization by Likelihood Maximization;grupo 104
Comparative Analysis of Probabilistic Models for Activity Recognition with an Instrumented Walker;grupo 104
Value-Directed Sampling Methods for POMDPs;grupo 104
Vector-space Analysis of Belief-state Approximation for POMDPs;grupo 104
SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;grupo 104
General-Purpose MCMC Inference over Relational Structures;grupo 104
Learning Probabilistic Relational Dynamics for Multiple Tasks;grupo 104
Probabilistic Models for Agents' Beliefs and Decisions;grupo 104
Accelerating EM: An Empirical Study;grupo 104
CAPIR: Collaborative Action Planning with Intention Recognition;grupo 104
Adaptive Importance Sampling for Estimation in Structured Domains;grupo 104
Deliberation Scheduling for Time-Critical Sequential Decision Making;grupo 104
Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic;grupo 104
Monte Carlo Bayesian Reinforcement Learning;grupo 104
Representation Requirements for Supporting Decision Model Formulation;grupo 104
Representing Context-Sensitive Knowledge in a Network Formalism: A Preliminary Report;grupo 104
Causal Mechanism-based Model Construction;grupo 104
Using First-Order Probability Logic for the Construction of Bayesian Networks;grupo 104
Using New Data to Refine a Bayesian Network;grupo 104
Using Causal Information and Local Measures to Learn Bayesian Networks;grupo 104
UCP-Networks: A Directed Graphical Representation of Conditional Utilities;grupo 104
Probability Distributions Over Possible Worlds;grupo 104
Solving #SAT and Bayesian Inference with Backtracking Search;grupo 104
A Case Study in Knowledge Discovery and Elicitation in an Intelligent Tutoring Application;grupo 104
Sensor Validation Using Dynamic Belief Networks;grupo 104
On the Complexity of Decision Making in Possibilistic Decision Trees;grupo 116
Compiling Possibilistic Networks: Alternative Approaches to Possibilistic Inference;grupo 116
A Symbolic Approach to Reasoning with Linguistic Quantifiers;grupo 116
Incremental Map Generation by Low Cost Robots Based on Possibility/Necessity Grids;grupo 116
Evolution of Ideas: A Novel Memetic Algorithm Based on Semantic Networks;grupo 116
On the Qualitative Comparison of Decisions Having Positive and Negative Features;grupo 116
Decision-making Under Ordinal Preferences and Comparative Uncertainty;grupo 116
Loopy Belief Propagation in Bayesian Networks : origin and possibilistic perspectives;grupo 116
Argumentative inference in uncertain and inconsistent knowledge bases;grupo 116
A Principled Analysis of Merging Operations in Possibilistic Logic;grupo 116
Graphical readings of possibilistic logic bases;grupo 116
On Modal Logics for Qualitative Possibility in a Fuzzy Setting;grupo 116
Combining Multiple-Valued Logics in Modular Expert Systems;grupo 116
A Complete Calculus for Possibilistic Logic Programming with Fuzzy Propositional Variables;grupo 116
Improving the Scalability of Optimal Bayesian Network Learning with External-Memory Frontier Breadth-First Branch and Bound Search;grupo 134
Most Relevant Explanation: Properties, Algorithms, and Evaluations;grupo 134
Solving Multistage Influence Diagrams using Branch-and-Bound Search;grupo 134
Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions;grupo 134
Extended Lifted Inference with Joint Formulas;grupo 134
Generic Preferences over Subsets of Structured Objects;grupo 134
A Heuristic Search Approach to Planning with Continuous Resources in Stochastic Domains;grupo 134
Suboptimality Bounds for Stochastic Shortest Path Problems;grupo 134
Policy Iteration for Decentralized Control of Markov Decision Processes;grupo 134
Sparse Stochastic Finite-State Controllers for POMDPs;grupo 134
A Bilinear Programming Approach for Multiagent Planning;grupo 134
The Complexity of Decentralized Control of Markov Decision Processes;grupo 134
Optimizing Memory-Bounded Controllers for Decentralized POMDPs;grupo 134
Rollout Sampling Policy Iteration for Decentralized POMDPs;grupo 134
Anytime Planning for Decentralized POMDPs using Expectation Maximization;grupo 134
Message-Passing Algorithms for Quadratic Programming Formulations of MAP Estimation;grupo 134
Simple Regret Optimization in Online Planning for Markov Decision Processes;grupo 134
Unstructuring User Preferences: Efficient Non-Parametric Utility Revelation;grupo 134
Cost-Sharing in Bayesian Knowledge Bases;grupo 134
Online Speedup Learning for Optimal Planning;grupo 134
Incremental Clustering and Expansion for Faster Optimal Planning in Dec-POMDPs;grupo 134
Scalable Planning and Learning for Multiagent POMDPs: Extended Version;grupo 134
IDEAL: A Software Package for Analysis of Influence Diagrams;grupo 134
Integrating Model Construction and Evaluation;grupo 134
Decision-Theoretic Control of Problem Solving: Principles and Architecture;grupo 134
Decision Making with Interval Influence Diagrams;grupo 134
Ideal Reformulation of Belief Networks;grupo 134
A New Look at Causal Independence;grupo 134
Computationally-Optimal Real-Resource Strategies;grupo 134
Probabilistic Conceptual Network: A Belief Representation Scheme for Utility-Based Categorization;grupo 134
A Structured, Probabilistic Representation of Action;grupo 134
Decision Methods for Adaptive Task-Sharing in Associate Systems;grupo 134
A Probabilistic Approach to Hierarchical Model-based Diagnosis;grupo 134
A Generalization of the Noisy-Or Model;grupo 134
PAC-Bayesian Policy Evaluation for Reinforcement Learning;grupo 145
Online Learning under Delayed Feedback;grupo 145
Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions;grupo 145
A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning;grupo 145
Statistical Linear Estimation with Penalized Estimators: an Application to Reinforcement Learning;grupo 145
Analysis of Kernel Mean Matching under Covariate Shift;grupo 145
Apprenticeship Learning using Inverse Reinforcement Learning and Gradient Methods;grupo 145
An Adaptive Algorithm for Finite Stochastic Partial Monitoring;grupo 145
Dyna-Style Planning with Linear Function Approximation and Prioritized Sweeping;grupo 145
Speeding Up Planning in Markov Decision Processes via Automatically Constructed Abstractions;grupo 145
Bayesian Error-Bars for Belief Net Inference;grupo 145
Improved Mean and Variance Approximations for Belief Net Responses via Network Doubling;grupo 145
Linear Programming for Large-Scale Markov Decision Problems;grupo 145
Learning Bayesian Nets that Perform Well;grupo 145
A Generalized Loop Correction Method for Approximate Inference in Graphical Models;grupo 145
Training Restricted Boltzmann Machine by Perturbation;grupo 145
Planning by Prioritized Sweeping with Small Backups;grupo 145
Off-Policy Actor-Critic;grupo 145
Bayes' Bluff: Opponent Modelling in Poker;grupo 145
Resourceful Contextual Bandits;grupo 151
Taming the Monster: A Fast and Simple Algorithm for Contextual Bandits;grupo 151
Logarithmic Time Online Multiclass prediction;grupo 151
Proceedings of the 29th International Conference on Machine Learning (ICML-12);grupo 151
Predicting Conditional Quantiles via Reduction to Classification;grupo 151
Learning Performance of Prediction Markets with Kelly Bettors;grupo 151
Efficient programmable learning to search;grupo 151
Contextual Bandit Learning with Predictable Rewards;grupo 151
Efficient Test Selection in Active Diagnosis via Entropy Approximation;grupo 151
Studies in Lower Bounding Probabilities of Evidence using the Markov Inequality;grupo 151
AND/OR Importance Sampling;grupo 151
Probabilistic Theorem Proving;grupo 151
Join-Graph Propagation Algorithms;grupo 151
Approximate Inference Algorithms for Hybrid Bayesian Networks with Discrete Constraints;grupo 151
Approximation by Quantization;grupo 151
Formula-Based Probabilistic Inference;grupo 151
Modeling Transportation Routines using Hybrid Dynamic Mixed Networks;grupo 151
AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Graphical Models;grupo 151
Best-First AND/OR Search for Most Probable Explanations;grupo 151
BEEM : Bucket Elimination with External Memory;grupo 151
Cutset Sampling with Likelihood Weighting;grupo 151
AND/OR Multi-Valued Decision Diagrams (AOMDDs) for Weighted Graphical Models;grupo 151
The Relationship Between AND/OR Search and Variable Elimination;grupo 151
A Scheme for Approximating Probabilistic Inference;grupo 151
Dependency Networks for Collaborative Filtering and Data Visualization;grupo 153
Playing games against nature: optimal policies for renewable resource allocation;grupo 153
On the Erdos Discrepancy Problem;grupo 153
Understanding Sampling Style Adversarial Search Methods;grupo 153
Synthesizing Manipulation Sequences for Under-Specified Tasks using Unrolled Markov Random Fields;grupo 153
A Bayesian Approach to Tackling Hard Computational Problems;grupo 153
Algorithm Portfolio Design: Theory vs. Practice;grupo 153
Survey Propagation Revisited;grupo 153
Adjacency-Faithfulness and Conservative Causal Inference;grupo 153
Detecting Causal Relations in the Presence of Unmeasured Variables;grupo 153
A Transformational Characterization of Markov Equivalence for Directed Acyclic Graphs with Latent Variables;grupo 153
Semi-Instrumental Variables: A Test for Instrument Admissibility;grupo 153
Causal discovery of linear acyclic models with arbitrary distributions;grupo 153
A theoretical study of Y structures for causal discovery;grupo 153
Discovering Cyclic Causal Models by Independent Components Analysis;grupo 153
Maximizing the Spread of Cascades Using Network Design;grupo 153
Inference for Multiplicative Models;grupo 153
A Bayesian Approach to Learning Bayesian Networks with Local Structure;grupo 153
Using Temporal Data for Making Recommendations;grupo 153
Structure and Parameter Learning for Causal Independence and Causal Interaction Models;grupo 153
Models and Selection Criteria for Regression and Classification;grupo 153
Perfect Tree-Like Markovian Distributions;grupo 153
Location-Based Reasoning about Complex Multi-Agent Behavior;grupo 153
A Decision Theoretic Approach to Targeted Advertising;grupo 153
Learning Bayesian Networks: The Combination of Knowledge and Statistical Data;grupo 153
Reasoning about the Value of Decision-Model Refinement: Methods and Application;grupo 153
Directed Reduction Algorithms and Decomposable Graphs;grupo 153
Time-Critical Dynamic Decision Making;grupo 153
Convergent message passing algorithms - a unifying view;grupo 156
Tightening LP Relaxations for MAP using Message Passing;grupo 156
Convergent Propagation Algorithms via Oriented Trees;grupo 156
Discriminative Learning via Semidefinite Probabilistic Models;grupo 156
What Cannot be Learned with Bethe Approximations;grupo 156
Learning the Experts for Online Sequence Prediction;grupo 156
Convexifying the Bethe Free Energy;grupo 156
Modeling Events with Cascades of Poisson Processes;grupo 156
CT-NOR: Representing and Reasoning About Events in Continuous Time;grupo 156
The Factored Frontier Algorithm for Approximate Inference in DBNs;grupo 156
Latent Topic Models for Hypertext;grupo 156
MAP Estimation, Linear Programming and Belief Propagation with Convex Free Energies;grupo 156
Mean Field Variational Approximation for Continuous-Time Bayesian Networks;grupo 156
Continuous Time Markov Networks;grupo 156
Gibbs Sampling in Factorized Continuous-Time Markov Processes;grupo 156
Incorporating Expressive Graphical Models in Variational Approximations: Chain-Graphs and Hidden Variables;grupo 156
Sequential Update of Bayesian Network Structure;grupo 156
On the Relation between Kappa Calculus and Probabilistic Reasoning;grupo 156
Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;grupo 156
Reasoning With Qualitative Probabilities Can Be Tractable;grupo 156
Making life better one large system at a time: Challenges for UAI research;grupo 156
Sensitivity Analysis for Threshold Decision Making with Dynamic Networks;grupo 256
Pivotal Pruning of Trade-offs in QPNs;grupo 256
Enhancing QPNs for Trade-off Resolution;grupo 256
Computing Probability Intervals Under Independency Constraints;grupo 256
How to Elicit Many Probabilities;grupo 256
The Computational Complexity of Sensitivity Analysis and Parameter Tuning;grupo 256
Learning Bayesian Network Parameters with Prior Knowledge about Context-Specific Qualitative Influences;grupo 256
Pre-processing for Triangulation of Probabilistic Networks;grupo 256
Making Sensitivity Analysis Computationally Efficient;grupo 256
Analysing Sensitivity Data from Probabilistic Networks;grupo 256
aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;grupo 256
Inference in Multiply Sectioned Bayesian Networks with Extended Shafer-Shenoy and Lazy Propagation;grupo 256
Myopic Value of Information in Influence Diagrams;grupo 256
Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;grupo 256
Representing and Solving Asymmetric Bayesian Decision Problems;grupo 256
Welldefined Decision Scenarios;grupo 256
Analysis in HUGIN of Data Conflict;grupo 256
Optimal Junction Trees;grupo 256
The Cost of Troubleshooting Cost Clusters with Inside Information;grupo 256
From Influence Diagrams to Junction Trees;grupo 256
MAIES: A Tool for DNA Mixture Analysis;grupo 256
Conditions Under Which Conditional Independence and Scoring Methods Lead to Identical Selection of Bayesian Network Models;grupo 256
Propagation using Chain Event Graphs;grupo 256
Evaluating Influence Diagrams using LIMIDs;grupo 256
On reasoning in networks with qualitative uncertainty;grupo 256
Re-entrant Structural Phase Transition in a Frustrated Kagome Magnet, Rb2SnCu3F12;grupo 256
Risk Agoras: Dialectical Argumentation for Scientific Reasoning;grupo 256
Local structure correlations in plastic cyclohexane - a Reverse Monte Carlo study;grupo 256
A computational scheme for Reasoning in Dynamic Probabilistic Networks;grupo 256
Nested Junction Trees;grupo 256
Reduction of Computational Complexity in Bayesian Networks through Removal of Weak Dependencies;grupo 256
Approximations in Bayesian Belief Universe for Knowledge Based Systems;grupo 256
