title;community
Sidestepping the Triangulation Problem in Bayesian Net Computations;grupo 6
A Method for Speeding Up Value Iteration in Partially Observable Markov Decision Processes;grupo 6
Fast Value Iteration for Goal-Directed Markov Decision Processes;grupo 6
Incremental Pruning: A Simple, Fast, Exact Method for Partially Observable Markov Decision Processes;grupo 6
Incremental computation of the value of perfect information in stepwise-decomposable influence diagrams;grupo 6
Region-Based Approximations for Planning in Stochastic Domains;grupo 6
Independence of Causal Influence and Clique Tree Propagation;grupo 6
Inter-causal Independence and Heterogeneous Factorization;grupo 6
Solving Asymmetric Decision Problems with Influence Diagrams;grupo 6
New Results on Equilibria in Strategic Candidacy;grupo 6
Penalty logic and its Link with Dempster-Shafer Theory;grupo 6
Syntax-based Default Reasoning as Probabilistic Model-based Diagnosis;grupo 6
The Computational Complexity of Dominance and Consistency in CP-Nets;grupo 6
Possibilistic decreasing persistence;grupo 6
Group Activity Selection Problem;grupo 6
Plausible reasoning from spatial observations;grupo 6
A Logic of Graded Possibility and Certainty Coping with Partial Inconsistency;grupo 6
Possibility and Necessity Functions over Non-classical Logics;grupo 6
A Dynamic Approach to Probabilistic Inference;grupo 6
Building a Stochastic Dynamic Model of Application Use;grupo 6
Exploring Localization in Bayesian Networks for Large Expert Systems;grupo 6
What is an Optimal Diagnosis?;grupo 6
High Level Path Planning with Uncertainty;grupo 6
The use of conflicts in searching Bayesian networks;grupo 6
Representing Bayesian Networks within Probabilistic Horn Abduction;grupo 6
Probabilistic Semantics and Defaults;grupo 6
Symmetric Collaborative Filtering Using the Noisy Sensor Model;grupo 6
Nonparametric Bayesian Logic;grupo 6
Constraint Processing in Lifted Probabilistic Inference;grupo 6
Seeing the Forest Despite the Trees: Large Scale Spatial-Temporal Decision Making;grupo 6
"Possibilistic Constraint Satisfaction Problems or ""How to handle soft constraints?""";grupo 6
Bounds Arc Consistency for Weighted CSPs;grupo 6
From influence diagrams to multi-operator cluster DAGs;grupo 6
CORL: A Continuous-state Offset-dynamics Reinforcement Learner;grupo 6
A Bayesian Sampling Approach to Exploration in Reinforcement Learning;grupo 6
Learning is planning: near Bayes-optimal reinforcement learning via Monte-Carlo tree search;grupo 6
The Complexity of Plan Existence and Evaluation in Probabilistic Domains;grupo 6
Exploring compact reinforcement-learning representations with linear regression;grupo 6
Incremental Model-based Learners With Formal Learning-Time Guarantees;grupo 6
A Polynomial-time Nash Equilibrium Algorithm for Repeated Stochastic Games;grupo 6
Graphical Models for Game Theory;grupo 6
An Efficient Optimal-Equilibrium Algorithm for Two-player Game Trees;grupo 6
Learning Belief Networks in Domains with Recursively Embedded Pseudo Independent Submodels;grupo 6
A Robust Quantum Random Access Memory;grupo 6
Exploring Parallelism in Learning Belief Networks;grupo 6
A Monte-Carlo Algorithm for Dempster-Shafer Belief;grupo 6
The Assumptions Behind Dempster's Rule;grupo 6
Generating Graphoids from Generalised Conditional Probability;grupo 6
Rules, Belief Functions and Default Logic;grupo 6
Order-of-Magnitude Influence Diagrams;grupo 6
Arguments using ontological and causal knowledge;grupo 6
Intercausal Reasoning with Uninstantiated Ancestor Nodes;grupo 80
Causality in Bayesian Belief Networks;grupo 80
Importance Sampling in Bayesian Networks: An Influence-Based Approximation Strategy for Importance Functions;grupo 80
Confidence Inference in Bayesian Networks;grupo 80
Qualitative Propagation and Scenario-based Explanation of Probabilistic Reasoning;grupo 80
Computational Advantages of Relevance Reasoning in Bayesian Belief Networks;grupo 80
Learning Why Things Change: The Difference-Based Causality Learner;grupo 80
Some Properties of Joint Probability Distributions;grupo 80
Causal Mechanism-based Model Construction;grupo 80
Computational Investigation of Low-Discrepancy Sequences in Simulation Algorithms for Bayesian Networks;grupo 80
User Interface Tools for Navigation in Conditional Probability Tables and Elicitation of Probabilities in Bayesian Networks;grupo 80
Knowledge Engineering for Large Belief Networks;grupo 80
A Comparison of Decision Analysis and Expert Rules for Sequential Diagnosis;grupo 80
Efficient Estimation of the Value of Information in Monte Carlo Models;grupo 80
Search-based Methods to Bound Diagnostic Probabilities in Very Large Belief Nets;grupo 80
An Experimental Comparison of Numerical and Qualitative Probabilistic Reasoning;grupo 80
On Bayesian Network Approximation by Edge Deletion;grupo 80
On the Relation between Kappa Calculus and Probabilistic Reasoning;grupo 80
Argument Calculus and Networks;grupo 80
Exploiting Evidence in Probabilistic Inference;grupo 80
On the Robustness of Most Probable Explanations;grupo 80
A Variational Approach for Approximating Bayesian Networks by Edge Deletion;grupo 80
A Standard Approach for Optimizing Belief Network Inference using Query DAGs;grupo 80
Approximating MAP using Local Search;grupo 80
Any-Space Probabilistic Inference;grupo 80
Objection-Based Causal Networks;grupo 80
A Differential Approach to Inference in Bayesian Networks;grupo 80
Action Networks: A Framework for Reasoning about Actions and Change under Uncertainty;grupo 80
Approximating the Partition Function by Deleting and then Correcting for Model Edges;grupo 80
EDML: A Method for Learning Parameters in Bayesian Networks;grupo 80
Node Splitting: A Scheme for Generating Upper Bounds in Bayesian Networks;grupo 80
Tradeoffs in Constructing and Evaluating Temporal Influence Diagrams;grupo 80
Dynamic Network Updating Techniques For Diagnostic Reasoning;grupo 80
Symbolic Probabilistic Inference with Evidence Potential;grupo 80
Symbolic Probabilistic Inference with Continuous Variables;grupo 80
An Architecture for Probabilistic Concept-Based Information Retrieval;grupo 80
Refinement and Coarsening of Bayesian Networks;grupo 80
Backward Simulation in Bayesian Networks;grupo 80
An Approximate Nonmyopic Computation for Value of Information;grupo 80
Efficient inference in persistent Dynamic Bayesian Networks;grupo 80
Exact Inference in Networks with Discrete Children of Continuous Parents;grupo 104
Expectation Propagation for Continuous Time Bayesian Networks;grupo 104
Object-Oriented Bayesian Networks;grupo 104
Convex Point Estimation using Undirected Bayesian Transfer Hierarchies;grupo 104
Policy Iteration for Factored MDPs;grupo 104
Generating New Beliefs From Old;grupo 104
Nonuniform Dynamic Discretization in Hybrid Networks;grupo 104
Utilities as Random Variables: Density Estimation and Structure Discovery;grupo 104
Being Bayesian about Network Structure;grupo 104
Continuous Time Markov Networks;grupo 104
Modeling Latent Variable Uncertainty for Loss-based Learning;grupo 104
Probabilistic Models for Agents' Beliefs and Decisions;grupo 104
Constrained Approximate Maximum Entropy Learning of Markov Random Fields;grupo 104
Ordering-Based Search: A Simple and Effective Algorithm for Learning Bayesian Networks;grupo 104
MAP Estimation of Semi-Metric MRFs via Hierarchical Graph Cuts;grupo 104
Residual Belief Propagation: Informed Scheduling for Asynchronous Message Passing;grupo 104
Update Rules for Parameter Estimation in Bayesian Networks;grupo 104
Reasoning at the Right Time Granularity;grupo 104
SPOOK: A System for Probabilistic Object-Oriented Knowledge Representation;grupo 104
Probability Estimation in Face of Irrelevant Information;grupo 104
Projected Subgradient Methods for Learning Sparse Gaussians;grupo 104
Expectation Maximization and Complex Duration Distributions for Continuous Time Bayesian Networks;grupo 104
